ecoregion,scientific_name,common_name,class,conservation_status,habitat_type,image_url,attribution,description,species_id
Amazon and Guianas,Pristimantis lividus,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis lividus is a species of frog in the family Strabomantidae.,ba315409-7fc8-456b-8ed6-91052ef37a0b
Amazon and Guianas,Colostethus imbricolus,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/8/86/Colostethus_imbricolus.jpg,Wikimedia Commons,Colostethus imbricolus is a species of frog in the family Dendrobatidae. It is endemic to Colombia.,4b382c04-8198-4ef7-a3a2-a686c1617c5f
Amazon and Guianas,Hyloxalus fuliginosus,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/9/97/Poison_dart_frog_-_cobalt_tinc.jpg,Wikimedia Commons,Hyloxalus fuliginosus or the Quijos rocket frog is a species of frog in the family Dendrobatidae.,0606cf5d-d90a-4498-a461-f82e3ed3ee50
Amazon and Guianas,Phyllobates bicolor,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/a/a4/Phyllobates_bicolor_frog_on_soil.jpg,Wikimedia Commons,"Phyllobates bicolor, or more commonly referred to as the black-legged poison dart frog, is the world's second-most toxic dart frog. Under the genus Phyllobates, this organism is often mistaken as Phyllobates terribilis, the golden poison frog, as both are morphologically similar. However, Phyllobates bicolor is identifiable by the yellow or orange body and black or dark blue forelimbs and hindlegs, hence the name black-legged dart frog. Phyllobates bicolor are commonly found in tropical forests of the Chocó region of Colombia. The diurnal frogs live along the rainforest ground near streams or puddles that form. Notably, P. bicolor is a member of the family Dendrobatidae, or poison dart frog. P. bicolor, along with the rest of the Phyllobates species, produce a neurotoxin known as a batrachotoxin that inhibits specific transmembrane channels in cells. Due to this highly deadly toxin that the frogs secrete, many indigenous groups of the Colombian rainforest have extracted the toxins to create poison tipped darts used for hunting. During the breeding period, P. bicolor emits high pitched single notes as a mating call. As in all poison dart frogs, it is common for the father of tadpoles to carry the offspring on his back until they reach a suitable location for the tadpoles to develop. P. bicolor is an endangered species according to the IUCN red list. Currently, deforestation, habitat loss, and pollution pose the biggest threat to the species. Limited conservation efforts have been attempted to prevent further damage to the species. Despite this, there are still institutions such as the Baltimore National Aquarium in Baltimore, Maryland and the Tatamá National Natural Park in Colombia that are engaged in P. bicolor conservation efforts such as captive breeding.",f662119a-df40-47e6-af2a-522d57010971
Amazon and Guianas,Phyllobates bicolor,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/a/a4/Phyllobates_bicolor_frog_on_soil.jpg,Wikimedia Commons,"Phyllobates bicolor, or more commonly referred to as the black-legged poison dart frog, is the world's second-most toxic dart frog. Under the genus Phyllobates, this organism is often mistaken as Phyllobates terribilis, the golden poison frog, as both are morphologically similar. However, Phyllobates bicolor is identifiable by the yellow or orange body and black or dark blue forelimbs and hindlegs, hence the name black-legged dart frog. Phyllobates bicolor are commonly found in tropical forests of the Chocó region of Colombia. The diurnal frogs live along the rainforest ground near streams or puddles that form. Notably, P. bicolor is a member of the family Dendrobatidae, or poison dart frog. P. bicolor, along with the rest of the Phyllobates species, produce a neurotoxin known as a batrachotoxin that inhibits specific transmembrane channels in cells. Due to this highly deadly toxin that the frogs secrete, many indigenous groups of the Colombian rainforest have extracted the toxins to create poison tipped darts used for hunting. During the breeding period, P. bicolor emits high pitched single notes as a mating call. As in all poison dart frogs, it is common for the father of tadpoles to carry the offspring on his back until they reach a suitable location for the tadpoles to develop. P. bicolor is an endangered species according to the IUCN red list. Currently, deforestation, habitat loss, and pollution pose the biggest threat to the species. Limited conservation efforts have been attempted to prevent further damage to the species. Despite this, there are still institutions such as the Baltimore National Aquarium in Baltimore, Maryland and the Tatamá National Natural Park in Colombia that are engaged in P. bicolor conservation efforts such as captive breeding.",3c6a0c52-5976-446a-bbb6-e9fe6171cac6
Amazon and Guianas,Pristimantis dorado,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/9/9d/Pristimantis_dorado.jpg,Wikimedia Commons,"Pristimantis dorado is a species of frog in the family Strabomantidae. It is native to the forests of Colombia. The first specimen was found calling in roadside bushes in cloud forest near Chingaza National Natural Park at 2,650 m. The frog is less than 2 cm long and can be distinguished from closely related species by its metallic golden iris with a horizontal brown streak.",834edbf5-a82d-4914-8f32-c7dc692c2356
Amazon and Guianas,Rhinella arborescandens,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/b/b8/Peru_physical_map.svg,Wikimedia Commons,Rhinella arborescandens is a species of toad in the family Bufonidae.,0a12d04c-8ed0-42b1-8bab-7fedd063733e
Amazon and Guianas,Atelopus seminiferus,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bufo_periglenes2.jpg,Wikimedia Commons,"Atelopus seminiferus, the Upper Amazon Stubfoot Toad, is a species of toad in the family Bufonidae.",f90a2905-5027-4676-8b99-a5b9c91365db
Amazon and Guianas,Pristimantis vanadise,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,"Pristimantis vanadise, also known as La Marca's robber frog or blue cloudy frog, is a species of frog in the family Strabomantidae.",dc6fcfd4-4318-4bec-9b40-29b139da023a
Amazon and Guianas,Pristimantis pinguis,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis pinguis is a species of frog in the family Strabomantidae.,42ad879f-d5d3-42df-a3c4-dbcde85058fb
Amazon and Guianas,Pithecopus centralis,species of frog in the subfamily Phyllomedusinae,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/79/Parque_Estadual_Carlos_Botelho_Giordano_Rossi_%2805%29.jpg,Wikimedia Commons,Pithecopus centralis is a species of frog in the subfamily Phyllomedusinae.,2476fed5-e0ea-47f4-8e5b-23352ba67d65
Amazon and Guianas,Pithecopus centralis,species of frog in the subfamily Phyllomedusinae,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/79/Parque_Estadual_Carlos_Botelho_Giordano_Rossi_%2805%29.jpg,Wikimedia Commons,Pithecopus centralis is a species of frog in the subfamily Phyllomedusinae.,84099868-b95a-47c2-97c6-b5f95e0a2144
